PubMed ID,Bmap ID,Exp ID,CODE,,,,,
11960021,30101,1,anticipation,MID,,,,
10934265,30219,1,positive outcomes,value,choice,cards,,
10934265,30219,2,negative outcomes,value,choice,cards,,
10934265,30219,3,positive outcomes,choice,cards,,,
10934265,30219,4,negative outcomes,choice,cards,,,
10934265,30219,5,positive outcomes,negative outcomes,choice,cards,,
17291784,7060161,1,anticipation,positive outcomes,MID,,,
17291784,7060161,4,anticipation,negative outcomes,MID,,,
16487726,7070164,1,anticipation,probability,MID,,,
16487726,7070164,2,reward omission,MID,,,,
15588617,7070173,1,reward learning,risk,cards,,,
16504951,7070180,1,reward learning,gambling choice,,,,
16880132,7070187,1,positive outcomes,choice,cards,,,
16880132,7070187,2,anticipation,positive outcomes,choice,cards,,
16880132,7070187,3,anticipation,positive outcomes,choice,cards,delay,
16880132,7070187,4,positive outcomes,choice,cards,,,
16880132,7070187,6,positive outcomes,delay,choice,cards,,
12814578,7070191,1,prediction uncertainty,probability,gambling choice,,,
12814578,7070191,2,prediction uncertainty,probability,gambling choice,,,
16971537,7070194,1,value,gambling choice,cards,,,
16971537,7070194,2,probability,gambling choice,cards,,,
16971537,7070194,3,value,gambling choice,cards,,,
16971537,7070194,4,value,gambling choice,cards,,,
16971537,7070194,5,positive outcomes,gambling choice,cards,,,
16971537,7070194,6,reward omission,gambling choice,cards,,,
16971537,7070194,7,reward omission,gambling choice,cards,,,
16971537,7070194,8,prediction uncertainty,reward omission,probability,gambling choice,cards,
16971537,7070194,9,negative outcomes,gambling choice,cards,,,
16971537,7070194,10,negative outcomes,gambling choice,cards,,,
16971537,7070194,11,prediction uncertainty,negative outcomes,probability,gambling choice,cards,
15888656,7080199,1,valence,MID,,,,
15888656,7080199,3,value,MID,,,,
15888656,7080199,5,probability,MID,,,,
15888656,7080199,7,value,valence,MID,,,
15888656,7080199,8,value,probability,valence,MID,,
17122317,7080207,1,value,classical conditioning,,,,
17122317,7080207,2,probability,classical conditioning,,,,
17122317,7080207,3,value,classical conditioning,,,,
17088503,7080224,2,positive outcomes,reversal learning task,,,,
17088503,7080224,5,negative outcomes,reversal learning task,,,,
17088503,7080224,7,prediction uncertainty,reward learning,reversal learning task,,,
15006651,7080230,1,prediction uncertainty,gambling choice,,,,
15006651,7080230,2,prediction uncertainty,gambling choice,,,,
15006651,7080230,3,prediction uncertainty,gambling choice,,,,
12764119,7080237,1,negative outcomes,rewarded performance,,,,
12764119,7080237,2,positive outcomes,rewarded performance,,,,
12764119,7080237,3,negative outcomes,rewarded performance,,,,
12764119,7080237,4,positive outcomes,rewarded performance,,,,
12764119,7080237,5,positive outcomes,rewarded performance,,,,
11459880,7090246,1,anticipation,MID,,,,
11459880,7090246,2,anticipation,positive outcomes,MID,,,
11459880,7090246,3,anticipation,value,positive outcomes,MID,,
11459880,7090246,4,negative outcomes,anticipation,MID,,,
11459880,7090246,5,negative outcomes,anticipation,value,MID,,
15006665,7110320,1,MID,,,,,
15006665,7110320,2,positive outcomes,MID,,,,
15006665,7110320,3,positive outcomes,MID,,,,
14568478,7110326,1,positive outcomes,MID,,,,
14568478,7110326,2,MID,,,,,
14568478,7110326,3,verbal reward,MID,,,,
14568478,7110326,4,verbal reward,MID,,,,
12571121,7110331,1,value,MID,response accuracy,,,
12571121,7110331,2,MID,response accuracy,,,,
12571121,7110331,3,anticipation,MID,response accuracy,,,
12571121,7110331,4,positive outcomes,MID,response accuracy,,,
16950228,7110333,2,positive outcomes,MID,,,,
15134646,7110337,1,positive outcomes,rewarded performance,,,,
15134646,7110337,2,rewarded performance,,,,,
15134646,7110337,3,positive outcomes,rewarded performance,,,,
17265148,7110340,1,prediction uncertainty,MID,,,,
17265148,7110340,2,prediction uncertainty,MID,,,,
17265148,7110340,3,positive outcomes,MID,,,,
14985419,7120357,1,anticipation,MID,,,,
14985419,7120357,3,anticipation,negative outcomes,MID,,,
14985419,7120357,5,positive outcomes,MID,,,,
14985419,7120357,7,negative outcomes,MID,,,,
17850241,7120359,1,anticipation,MID,,,,
17850241,7120359,2,anticipation,MID,,,,
17850241,7120359,3,anticipation,negative outcomes escape,MID,,,
17850241,7120359,4,positive outcomes,MID,,,,
17850241,7120359,5,positive outcomes,MID,,,,
17850241,7120359,6,negative outcomes escape,MID,,,,
17850241,7120359,7,negative outcomes escape,MID,,,,
16139525,7120363,1,anticipation,positive outcomes,MID,,,
16139525,7120363,3,anticipation,negative outcomes escape,MID,,,
17460071,7120367,1,prediction uncertainty,risk,choice,cards,,
17460071,7120367,2,choice,cards,,,,
17460071,7120367,3,positive outcomes,choice,cards,,,
17460071,7120367,4,negative outcomes,choice,cards,,,
17460071,7120367,5,positive outcomes,choice,cards,,,
17460071,7120367,6,negative outcomes,choice,cards,,,
17904386,7120373,1,valence,MID,,,,
17904386,7120373,2,value,MID,,,,
17904386,7120373,3,value,valence,MID,,,
10875899,7120374,1,positive outcomes,MID,,,,
10875899,7120374,2,negative outcomes,MID,,,,
12595181,7120375,1,anticipation,MID,,,,
12595181,7120375,2,anticipation,negative outcomes,MID,,,
12595181,7120375,3,positive outcomes,MID,,,,
11726774,7120376,1,anticipation,MID,,,,
11726774,7120376,2,anticipation,MID,,,,
11726774,7120376,3,value,MID,,,,
11726774,7120376,4,positive outcomes,MID,,,,
15260961,7120377,1,anticipation,positive outcomes,MID,,,
15260961,7120377,6,positive outcomes,MID,,,,
15260961,7120377,8,negative outcomes escape,MID,,,,
17996464,7120379,1,anticipation,positive outcomes,MID,,,
17996464,7120379,3,positive outcomes,MID,,,,
17521924,7120380,1,MID,,,,,
17521924,7120380,2,negative outcomes,MID,,,,
17521924,7120380,3,positive outcomes,MID,,,,
17521924,7120380,4,positive outcomes,MID,,,,
17521924,7120380,5,reward omission,MID,,,,
17521924,7120380,6,negative outcomes,MID,,,,
17521924,7120380,7,negative outcomes escape,MID,,,,
16675403,7120381,1,MID,,,,,
16675403,7120381,2,MID,,,,,
16675403,7120381,3,value,MID,,,,
16675403,7120381,4,anticipation,reward learning,classical conditioning,,,
16675403,7120381,5,anticipation,reward learning,classical conditioning,,,
16675403,7120381,6,anticipation,reward learning,classical conditioning,,,
16675403,7120381,7,reward learning,classical conditioning,,,,
16675403,7120381,8,reward learning,classical conditioning,,,,
16675403,7120381,9,reward learning,classical conditioning,,,,
16675403,7120381,10,reward learning,classical conditioning,,,,
16675403,7120381,11,reward learning,classical conditioning,,,,
16675403,7120381,12,reward learning,classical conditioning,,,,
12948722,7120382,1,positive outcomes,value,choice,cards,,
12948722,7120382,2,negative outcomes,value,choice,cards,,
12948722,7120382,3,positive outcomes,valence,choice,cards,,
12948722,7120382,4,positive outcomes,valence,choice,cards,,
12948722,7120382,5,positive outcomes,choice,cards,,,
12948722,7120382,6,negative outcomes,choice,cards,,,
12948722,7120382,7,positive outcomes,choice,cards,,,
12948722,7120382,8,negative outcomes,choice,cards,,,
17765572,7120387,1,negative outcomes,social,social,,,
17765572,7120387,2,negative outcomes,social,social,,,
17765572,7120387,3,negative outcomes escape,social,social,,,
17765572,7120387,4,negative outcomes escape,social,social,,,
17765572,7120387,5,negative outcomes escape,social,,,,
17765572,7120387,6,negative outcomes,social,,,,
17765572,7120387,7,negative outcomes escape,social,social,,,
15907305,8010002,1,prediction uncertainty,reward learning,cards,,,
17717184,8030079,1,negative outcomes escape,predator and prey paradigm,moving through virtual maze,,,
17717184,8030079,2,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,3,negative outcomes escape,predator and prey paradigm,moving through virtual maze,,,
17717184,8030079,4,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,5,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,6,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,7,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,8,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,9,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,10,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,11,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,12,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,13,predator and prey paradigm,moving through virtual maze,,,,
17717184,8030079,14,negative outcomes escape,predator and prey paradigm,moving through virtual maze,,,
17717184,8030079,15,negative outcomes,predator and prey paradigm,moving through virtual maze,,,
17717184,8030079,16,negative outcomes escape,predator and prey paradigm,moving through virtual maze,,,
17717184,8030079,17,negative outcomes,predator and prey paradigm,moving through virtual maze,,,
15758183,8040106,1,positive outcomes,classical conditioning,,,,
17140674,8040107,1,anticipation,MID,,,,
17140674,8040107,2,anticipation,MID,,,,
17140674,8040107,3,anticipation,MID,,,,
17140674,8040107,4,anticipation,probability,MID,,,
17140674,8040107,5,anticipation,MID,,,,
