id,cluster
11960021-1,2
10934265-1,4
10934265-2,1
10934265-3,4
10934265-4,1
10934265-5,4
17291784-1,4
17291784-4,4
16487726-1,4
16487726-2,4
15588617-1,3
16504951-1,2
16880132-1,4
16880132-2,4
16880132-3,3
16880132-4,2
16880132-6,2
12814578-1,4
12814578-2,2
16971537-1,4
16971537-2,4
16971537-3,4
16971537-4,4
16971537-5,4
16971537-6,4
16971537-7,4
16971537-8,4
16971537-9,1
16971537-10,1
16971537-11,1
15888656-1,4
15888656-3,4
15888656-5,3
15888656-7,4
15888656-8,3
17122317-1,4
17122317-2,4
17122317-3,4
17088503-2,4
17088503-5,2
17088503-7,2
15006651-1,2
15006651-2,2
15006651-3,2
12764119-1,2
12764119-2,4
12764119-3,2
12764119-4,4
12764119-5,4
11459880-1,4
11459880-2,4
11459880-3,4
11459880-4,4
11459880-5,4
15006665-1,1
15006665-2,3
15006665-3,1
14568478-1,4
14568478-2,4
14568478-3,4
14568478-4,4
12571121-1,2
12571121-2,1
12571121-3,1
12571121-4,2
16950228-2,4
15134646-1,4
15134646-2,1
15134646-3,4
17265148-1,4
17265148-2,2
17265148-3,4
14985419-1,4
14985419-3,4
14985419-5,4
14985419-7,4
17850241-1,4
17850241-2,2
17850241-3,2
17850241-4,3
17850241-5,3
17850241-6,1
17850241-7,3
16139525-1,4
16139525-3,4
17460071-1,3
17460071-2,1
17460071-3,4
17460071-4,2
17460071-5,4
17460071-6,3
17904386-1,2
17904386-2,4
17904386-3,4
10875899-1,4
10875899-2,4
12595181-1,4
12595181-2,4
12595181-3,3
11726774-1,4
11726774-2,4
11726774-3,3
11726774-4,4
15260961-1,4
15260961-6,4
15260961-8,1
17996464-1,4
17996464-3,3
17521924-1,4
17521924-2,4
17521924-3,4
17521924-4,4
17521924-5,4
17521924-6,1
17521924-7,4
16675403-1,4
16675403-2,4
16675403-3,4
16675403-4,4
16675403-5,1
16675403-6,4
16675403-7,4
16675403-8,1
16675403-9,1
16675403-10,4
16675403-11,4
16675403-12,1
12948722-1,3
12948722-2,3
12948722-3,1
12948722-4,1
12948722-5,3
12948722-6,3
12948722-7,2
12948722-8,2
17765572-1,2
17765572-2,2
17765572-3,2
17765572-4,4
17765572-5,4
17765572-6,1
17765572-7,4
15907305-1,2
17717184-1,3
17717184-2,4
17717184-3,3
17717184-4,3
17717184-5,3
17717184-6,1
17717184-7,4
17717184-8,1
17717184-9,3
17717184-10,3
17717184-11,1
17717184-12,4
17717184-13,3
17717184-14,4
17717184-15,2
17717184-16,3
17717184-17,2
15758183-1,4
17140674-1,3
17140674-2,4
17140674-3,3
17140674-4,4
17140674-5,1
17140674-6,4
17140674-7,4
17140674-8,1
17140674-9,1
17468751-1,4
17468751-2,4
17468751-3,4
17468751-4,4
17468751-5,4
17468751-6,2
17468751-7,4
17468751-8,4
10706432-1,1
10706432-2,2
15327927-1,2
15327927-2,4
15327927-3,4
17079666-1,3
17079666-2,3
17079666-3,3
17079666-4,2
17079666-5,2
17079666-6,2
17079666-7,3
17079666-8,2
17079666-9,2
17188518-1,2
17188518-2,3
12514228-1,1
12514228-2,2
12514228-3,3
9347486-1,2
9347486-3,4
9347486-4,3
9347486-6,4
9626713-1,4
9626713-2,3
9626713-3,4
15850746-1,4
15850746-4,4
15850746-6,4
15850746-9,4
15850746-10,4
15850746-11,2
15850746-12,1
15850746-13,4
15850746-14,1
15850746-15,2
17286837-1,4
17286837-2,4
11395019-1,3
11395019-2,3
17202543-4,3
14973239-1,4
14973239-2,2
14973239-3,1
14973239-4,2
17292631-1,2
17292631-2,2
11703464-1,2
11703464-2,2
11703464-3,2
12911764-4,1
11545466-1,2
11545466-2,2
11545466-3,2
15978024-1,4
15945130-1,4
15945130-2,4
15945130-3,4
15945130-4,2
15945130-5,2
15528079-1,3
15528079-2,3
17698371-1,4
17698371-2,3
17698371-3,2
17698371-4,1
17698371-5,4
9175118-1,4
16802856-1,3
16802856-2,3
16802856-3,4
16802856-4,3
16802856-6,4
16802856-7,2
16802856-8,4
16426719-1,2
16426719-2,2
16426719-3,4
16426719-4,1
16426719-5,1
16426719-6,4
16426719-7,2
15538191-1,4
19071223-1,4
19071223-2,1
19071223-3,1
19587291-1,2
19587291-2,4
19587291-3,4
19587291-4,4
19587291-5,1
19587291-6,2
19587291-7,2
19587291-8,3
19587291-9,2
15142963-1,2
15142963-2,3
19242558-1,4
19242558-2,4
19242558-3,4
19242558-4,4
19242558-5,4
19242558-6,4
18042401-1,3
18042401-2,4
18042401-3,2
18042401-4,2
19217383-1,4
19217383-2,4
19217383-3,4
19308261-1,4
19308261-2,1
19308261-3,1
19308261-4,4
19308261-5,2
19308261-6,4
19308261-7,1
17656073-5,2
17916330-5,4
17916330-6,4
17916330-7,4
17916330-8,1
19032746-1,4
19032746-2,1
19032746-3,1
19032746-4,1
19032746-5,2
19032746-6,3
19032746-7,2
19032746-8,1
19032746-9,1
19174537-1,4
19174537-2,4
17216152-1,1
17216152-2,4
19560123-1,4
19560123-3,4
19560123-5,4
19560123-12,3
15486304-1,4
15486304-2,2
18947356-7,2
18947356-8,3
19185567-1,4
19185567-2,2
19185567-3,3
19185567-4,2
19185567-5,1
16778890-1,3
16778890-2,3
16778890-3,2
16778890-4,4
18309087-1,4
11110834-1,4
11110834-2,1
11110834-3,4
18851716-1,4
18851716-3,4
18851716-5,4
18509047-1,1
16682235-1,1
17196537-1,4
17196537-2,3
17196537-3,3
12805551-1,2
19521264-1,4
12718866-1,4
12718866-2,4
15087550-1,4
15087550-2,4
15087550-3,4
15087550-4,4
15087550-5,4
17475790-1,4
17475790-2,4
17475790-3,4
17475790-4,4
18550593-1,3
18550593-2,1
18550593-3,4
18550593-4,1
18550593-5,2
18550593-6,3
18550593-7,1
16899731-1,3
16899731-2,4
16899731-3,3
16899731-4,2
16899731-5,2
17698008-1,2
17698008-2,3
17698008-4,3
17698008-6,3
17698008-7,2
18427116-1,3
18427116-2,1
18427116-3,3
18427116-4,4
16129404-1,4
16129404-3,4
16129404-4,2
16929307-1,4
16929307-2,2
16929307-3,1
16929307-4,4
16929307-5,2
19793875-1,4
19793875-2,4
19793875-3,4
19793875-4,3
18987206-1,2
18987206-2,2
18987206-3,4
18388729-1,4
18388729-2,4
18388729-3,4
19843618-1,4
19843618-2,4
19843618-3,3
19843618-4,4
19843618-5,4
19843618-6,3
19843618-7,2
19843618-8,1
19843618-9,2
16116457-1,4
16116457-2,4
16116457-3,4
16116457-4,3
16116457-5,3
16116457-6,1
16116457-7,4
16116457-8,2
16116457-9,1
16116457-10,3
16116457-11,2
16116457-12,2
11135651-1,3
11135651-2,3
11135651-3,3
11135651-4,2
11135651-5,2
11135651-6,3
11135651-7,3
11135651-8,3
11135651-9,3
18509023-1,3
18509023-2,2
18509023-3,4
17855612-1,3
17855612-2,3
17855612-3,4
17855612-4,1
17855612-5,4
17855612-6,1
20071521-1,3
20071521-2,4
20071521-3,1
20071521-4,2
20071521-5,4
19228976-1,4
19228976-2,4
17712267-1,4
18032658-1,4
18032658-2,4
18032658-3,3
18032658-4,1
18579749-1,3
18579749-2,3
19490086-1,1
19490086-2,4
19490086-3,1
19490086-4,4
19490086-5,2
19490086-6,3
19805082-1,1
19805082-2,4
19805082-3,1
19805082-4,2
19805082-5,2
19805082-6,4
17676057-1,2
17676057-2,4
19812332-1,2
19812332-2,2
11239442-1,2
11239442-2,2
11239442-3,2
10215087-1,2
10215087-2,2
10215087-3,3
10215087-4,3
19407204-1,3
19407204-2,4
19407204-3,2
19407204-4,3
18787233-1,3
18787233-2,3
18787233-3,2
18787233-4,2
18787233-5,4
11133312-1,2
11133312-3,1
12948701-1,2
12948701-2,1
18337404-1,2
18337404-3,2
18582578-1,4
18582578-2,2
18582578-3,4
18582578-4,2
18582578-5,4
18582578-6,2
18582578-7,4
10516320-1,2
10516320-3,2
10516320-5,2
10516320-7,1
10516320-8,2
18842669-1,3
18842669-2,4
18842669-3,4
18842669-4,4
18842669-5,3
18842669-6,1
19770058-1,3
19770058-2,2
19770058-3,2
19770058-4,1
19726640-1,2
19726640-2,4
20016088-1,4
20016088-2,3
20016088-3,2
20016088-4,2
20016088-5,4
20016088-6,1
20016088-7,2
20016088-8,1
20016088-9,1
20016088-10,2
20016088-11,4
20016088-12,4
19718655-1,2
19718655-2,4
19718655-3,4
