Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
MID,3.52201926283e-16,8.15395844719,0.166980356327,0.701881724165,-0.382781574725,0.466458743708
advice,1.0,-0.0,0.0864611260054,0.701881724165,-0.382781574725,0.0
altruistic donation,1.0,-0.0,0.169470614625,0.971095515882,-0.0362343258495,0.491727332892
anticipation,0.328219284894,0.977706946997,0.162620572262,0.750852349092,-0.317515672798,0.463302180685
blackjack,1.0,-0.0,0.0863453815261,0.701881724165,-0.382781574725,0.0
choice,0.508294822748,0.661495151825,0.15209710939,0.650131849631,-0.453579029823,0.41612322216
classical conditioning,0.102568235143,-1.63252833144,0.142813173284,0.701881724165,-0.382781574725,0.38900862069
delay,0.0178183964198,2.36937044625,0.20393717425,0.605447524889,0.516582656999,0.593161802797
delay discounting,0.0178183964198,2.36937044625,0.213948889565,0.49184058339,0.687384308167,0.615001777462
face attractivness,1.0,-0.0,0.0868102288022,0.650131849631,-0.453579029823,0.0
food,0.756394164313,0.310219340023,0.212605042017,0.605447524889,0.516582656999,0.604743083004
gambling choice,8.82515541645e-12,6.82446830638,0.184930749963,0.650131849631,0.453579029823,0.553032566477
go/no-go,0.147808933907,-1.44731423545,0.203029572485,0.701881724165,0.382781574725,0.579457747873
moving through virtual maze,0.00607022546871,-2.74396367408,0.116843458695,0.630975202758,-0.480354695742,0.251719394773
negative outcomes,0.000132445201771,3.82186684837,0.187982230535,0.701881724165,0.382781574725,0.555348258706
negative outcomes escape,0.409300015775,-0.825126077979,0.151426507765,0.701881724165,-0.382781574725,0.4233245886
pattern recognition,0.042757706975,-2.02606907162,0.192857142857,0.762309310652,0.302449649913,0.555555555556
performance feedback,0.102568235143,-1.63252833144,0.144829237153,0.701881724165,-0.382781574725,0.398347107438
picture of desired object,0.967816042894,-0.0403475528955,0.191256136787,0.701881724165,0.382781574725,0.554547466254
positive outcomes,5.29805434956e-05,4.04207383454,0.154353106221,0.49184058339,-0.687384308167,0.397463288907
predator and prey paradigm,0.00607022546871,-2.74396367408,0.116843458695,0.630975202758,-0.480354695742,0.251719394773
prediction uncertainty,0.102568235143,1.63252833144,0.165400340099,0.762309310652,-0.302449649913,0.473476976922
probabilistic conditioning,0.400440855503,-0.840834145197,0.166996136221,0.91259295952,-0.109768517506,0.482916330374
probability,0.169080585676,1.3751640669,0.197259271308,0.650131849631,0.453579029823,0.573902288188
purchasing,0.508294822748,-0.661495151825,0.297959183673,0.217095789787,1.23428750628,0.719178082192
reversal learning task,0.0458727124512,1.99656266089,0.20197740113,0.605447524889,0.516582656999,0.587412587413
reward delivery,1.0,-0.0,0.0864611260054,0.701881724165,-0.382781574725,0.0
reward learning,0.169080585676,1.3751640669,0.174138377818,0.945122056285,0.0688336204622,0.506696428571
reward omission,0.072311263782,-1.79715344022,0.110335503808,0.217095789787,-1.23428750628,0.174293573393
reward price,0.169080585676,1.3751640669,0.18647752395,0.701881724165,0.382781574725,0.545346769413
rewarded performance,1.0,0.0,0.161124433786,0.751899952596,-0.316135117556,0.459732098561
risk,0.141719661366,-1.46941721304,0.119669644362,0.368054372606,-0.900123798214,0.245774647887
risk vs. amount,0.37050992221,-0.895518609779,0.19409510121,0.71290307266,0.367959983396,0.56001234187
slot machine,0.000129350481894,-3.82769198817,0.0876358695652,0.605447524889,-0.516582656999,0.0
social,0.756394164313,0.310219340023,0.192008486563,0.701881724165,0.382781574725,0.558011049724
stock market,0.072311263782,-1.79715344022,0.251469923112,0.605447524889,0.516582656999,0.662769784173
tower of london task,8.82515541645e-12,-6.82446830638,0.0871621621622,0.605447524889,-0.516582656999,0.0
unexpected outcomes,0.0477983619391,-1.97915673887,0.18583106267,0.83304333327,0.210800006757,0.538123167155
valence,1.0,-0.0,0.228436657682,0.701881724165,0.382781574725,0.625368731563
value,0.00816991955352,2.64496571064,0.165757493105,0.762309310652,-0.302449649913,0.473169393912
verbal reward,1.0,-0.0,0.0863453815261,0.701881724165,-0.382781574725,0.0
wheel of fortune task,0.307479636668,1.02052479366,0.214403583215,0.605447524889,0.516582656999,0.610775151182
