PubMed ID,Bmap ID,Exp ID,cluster
11960021,30101,1,2
10934265,30219,1,4
10934265,30219,2,1
10934265,30219,3,4
10934265,30219,4,1
10934265,30219,5,4
17291784,7060161,1,4
17291784,7060161,4,4
16487726,7070164,1,4
16487726,7070164,2,4
15588617,7070173,1,3
16504951,7070180,1,2
16880132,7070187,1,4
16880132,7070187,2,4
16880132,7070187,3,3
16880132,7070187,4,2
16880132,7070187,6,2
12814578,7070191,1,4
12814578,7070191,2,2
16971537,7070194,1,4
16971537,7070194,2,4
16971537,7070194,3,4
16971537,7070194,4,4
16971537,7070194,5,4
16971537,7070194,6,4
16971537,7070194,7,4
16971537,7070194,8,4
16971537,7070194,9,1
16971537,7070194,10,1
16971537,7070194,11,1
15888656,7080199,1,4
15888656,7080199,3,4
15888656,7080199,5,3
15888656,7080199,7,4
15888656,7080199,8,3
17122317,7080207,1,4
17122317,7080207,2,4
17122317,7080207,3,4
17088503,7080224,2,4
17088503,7080224,5,2
17088503,7080224,7,2
15006651,7080230,1,2
15006651,7080230,2,2
15006651,7080230,3,2
12764119,7080237,1,2
12764119,7080237,2,4
12764119,7080237,3,2
12764119,7080237,4,4
12764119,7080237,5,4
11459880,7090246,1,4
11459880,7090246,2,4
11459880,7090246,3,4
11459880,7090246,4,4
11459880,7090246,5,4
15006665,7110320,1,1
15006665,7110320,2,3
15006665,7110320,3,1
14568478,7110326,1,4
14568478,7110326,2,4
14568478,7110326,3,4
14568478,7110326,4,4
12571121,7110331,1,2
12571121,7110331,2,1
12571121,7110331,3,1
12571121,7110331,4,2
16950228,7110333,2,4
15134646,7110337,1,4
15134646,7110337,2,1
15134646,7110337,3,4
17265148,7110340,1,4
17265148,7110340,2,2
17265148,7110340,3,4
14985419,7120357,1,4
14985419,7120357,3,4
14985419,7120357,5,4
14985419,7120357,7,4
17850241,7120359,1,4
17850241,7120359,2,2
17850241,7120359,3,2
17850241,7120359,4,3
17850241,7120359,5,3
17850241,7120359,6,1
17850241,7120359,7,3
16139525,7120363,1,4
16139525,7120363,3,4
17460071,7120367,1,3
17460071,7120367,2,1
17460071,7120367,3,4
17460071,7120367,4,2
17460071,7120367,5,4
17460071,7120367,6,3
17904386,7120373,1,2
17904386,7120373,2,4
17904386,7120373,3,4
10875899,7120374,1,4
10875899,7120374,2,4
12595181,7120375,1,4
12595181,7120375,2,4
12595181,7120375,3,3
11726774,7120376,1,4
11726774,7120376,2,4
11726774,7120376,3,3
11726774,7120376,4,4
15260961,7120377,1,4
15260961,7120377,6,4
15260961,7120377,8,1
17996464,7120379,1,4
17996464,7120379,3,3
17521924,7120380,1,4
17521924,7120380,2,4
17521924,7120380,3,4
17521924,7120380,4,4
17521924,7120380,5,4
17521924,7120380,6,1
17521924,7120380,7,4
16675403,7120381,1,4
16675403,7120381,2,4
16675403,7120381,3,4
16675403,7120381,4,4
16675403,7120381,5,1
16675403,7120381,6,4
16675403,7120381,7,4
16675403,7120381,8,1
16675403,7120381,9,1
16675403,7120381,10,4
16675403,7120381,11,4
16675403,7120381,12,1
12948722,7120382,1,3
12948722,7120382,2,3
12948722,7120382,3,1
12948722,7120382,4,1
12948722,7120382,5,3
12948722,7120382,6,3
12948722,7120382,7,2
12948722,7120382,8,2
17765572,7120387,1,2
17765572,7120387,2,2
17765572,7120387,3,2
17765572,7120387,4,4
17765572,7120387,5,4
17765572,7120387,6,1
17765572,7120387,7,4
15907305,8010002,1,2
17717184,8030079,1,3
17717184,8030079,2,4
17717184,8030079,3,3
